Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods
Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods
"Last Revised on: September 30, 2022"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fixed assets and consumer durable goods,1706.0,1768.6,1847.5,1922.4,2045.1,2182.2,2369.4,2557.3,2813.4,3073.9,3345.2,3672.5,4031.3,4564.8,5413.5,5855.1,6382.9,7120.5,8056.2,9256.4,10503.7,11551.4,12186.2,12643.9,13409.7,14135.9,15070.3,15995.2,17028.8,18019.5,18895.5,19390.4,20192.7,21202.9,22451.4,23529.0,24629.4,25888.1,27306.1,29033.9,30961.7,32674.6,34263.2,36072.6,39609.3,43399.2,46808.1,48889.9,50486.1,49645.8,50520.1,52221.2,53819.6,56290.3,58444.4,59886.2,62321.3,64852.7,68245.4,70977.2,74300.7,84767.2
2,"  Fixed assets",1520.5,1580.2,1652.8,1717.5,1829.7,1954.3,2119.9,2285.4,2511.4,2744.0,2990.8,3294.5,3621.8,4110.6,4887.7,5277.3,5747.3,6415.5,7261.1,8360.7,9512.5,10490.4,11083.9,11468.9,12140.1,12759.0,13548.2,14342.5,15228.3,16093.7,16856.4,17273.0,17999.5,18900.8,20027.3,20999.8,22001.5,23170.1,24472.3,26042.8,27759.9,29310.4,30737.0,32394.9,35711.1,39293.0,42509.6,44415.9,45920.8,45085.8,45984.7,47576.5,49092.1,51510.7,53585.1,54879.1,57158.8,59552.0,62729.9,65245.7,68166.3,77645.6
3,"    Private",1111.0,1147.6,1190.4,1228.7,1314.0,1402.9,1522.1,1636.6,1804.7,1962.9,2121.0,2352.7,2594.0,2946.9,3468.3,3786.4,4168.9,4735.7,5412.9,6264.5,7118.0,7860.3,8297.0,8599.6,9112.5,9619.0,10230.6,10843.5,11536.2,12203.1,12773.6,13058.9,13608.9,14321.2,15202.7,15951.3,16767.8,17703.7,18775.2,20027.0,21418.9,22706.4,23838.3,25197.2,27734.8,30580.2,32900.5,34061.0,34882.8,33995.6,34467.5,35444.0,36569.3,38567.6,40346.1,41443.7,43342.2,45176.6,47589.8,49551.8,51852.6,59397.5
4,"      Nonresidential",586.9,604.3,626.8,650.6,689.3,738.8,804.3,871.2,957.9,1055.8,1161.7,1275.1,1385.7,1560.5,1893.8,2083.8,2280.1,2532.5,2870.3,3313.9,3800.4,4300.0,4588.9,4744.7,5041.0,5332.4,5603.6,5919.1,6311.3,6699.8,7071.3,7242.6,7487.0,7837.6,8272.9,8723.3,9152.3,9674.8,10226.6,10849.4,11608.8,12189.4,12615.9,13036.2,14150.5,15429.8,16707.3,17653.8,18787.1,18237.6,18684.5,19551.3,20216.9,21073.3,22037.1,22487.0,23130.4,24022.2,25241.9,26423.4,27061.6,30363.2
5,"        Equipment",192.7,196.1,203.7,212.3,224.9,242.5,270.0,296.2,326.5,360.1,394.8,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018.0,1181.9,1369.9,1528.5,1619.9,1670.5,1758.8,1858.0,1964.7,2055.3,2178.1,2300.6,2423.7,2482.2,2544.3,2642.4,2784.9,2959.2,3104.1,3235.2,3384.7,3578.7,3805.2,3913.4,3959.3,4000.4,4225.9,4423.0,4729.2,4952.1,5200.2,5120.2,5224.0,5459.7,5699.6,5897.2,6138.8,6307.0,6460.2,6677.9,6973.8,7201.2,7323.1,7916.7
6,"        Structures",363.0,374.6,387.2,399.5,422.5,450.6,483.7,518.7,568.5,625.2,689.4,770.1,841.9,955.0,1156.4,1246.2,1354.7,1495.1,1689.2,1945.2,2216.6,2526.7,2694.9,2770.2,2943.8,3101.8,3232.5,3415.1,3641.8,3858.7,4055.4,4116.7,4251.0,4458.5,4696.8,4913.2,5136.2,5445.7,5759.2,6063.8,6468.4,6880.7,7212.5,7514.3,8334.0,9311.4,10180.9,10772.1,11557.2,11029.7,11286.3,11799.6,12126.7,12641.7,13245.0,13442.6,13765.2,14235.2,14955.5,15684.5,15859.2,18263.8
7,"        Intellectual property products",31.1,33.7,35.9,38.9,41.9,45.8,50.5,56.3,62.8,70.5,77.5,82.5,88.7,98.4,111.9,121.5,132.9,145.8,163.2,186.8,213.8,244.9,274.1,304.1,338.5,372.6,406.4,448.7,491.5,540.5,592.3,643.6,691.7,736.6,791.2,851.0,912.1,993.8,1082.7,1206.8,1335.1,1395.2,1444.0,1521.6,1590.6,1695.4,1797.2,1929.6,2029.7,2087.7,2174.2,2292.0,2390.6,2534.5,2653.3,2737.3,2905.0,3109.0,3312.7,3537.7,3879.3,4182.6
8,"      Residential",524.1,543.3,563.6,578.1,624.6,664.0,717.8,765.3,846.9,907.1,959.3,1077.6,1208.2,1386.4,1574.5,1702.6,1888.7,2203.2,2542.5,2950.5,3317.6,3560.2,3708.0,3854.8,4071.5,4286.6,4627.0,4924.4,5224.9,5503.2,5702.3,5816.3,6121.9,6483.7,6929.8,7228.0,7615.4,8029.0,8548.6,9177.6,9810.2,10517.0,11222.4,12161.0,13584.3,15150.4,16193.2,16407.2,16095.7,15758.0,15783.0,15892.7,16352.4,17494.3,18309.0,18956.7,20211.9,21154.5,22347.8,23128.4,24791.0,29034.3
9,"    Government",409.6,432.6,462.4,488.8,515.7,551.5,597.8,648.8,706.6,781.1,869.8,941.9,1027.9,1163.7,1419.4,1490.9,1578.5,1679.7,1848.2,2096.2,2394.5,2630.1,2787.0,2869.3,3027.5,3140.0,3317.6,3499.0,3692.1,3890.7,4082.8,4214.1,4390.6,4579.6,4824.5,5048.5,5233.7,5466.3,5697.1,6015.7,6341.0,6604.0,6898.7,7197.7,7976.3,8712.8,9609.2,10354.9,11038.0,11090.2,11517.2,12132.5,12522.8,12943.2,13238.9,13435.5,13816.6,14375.3,15140.1,15694.0,16313.7,18248.1
