DATE,B4702C0A222NBEA
1960-01-01,115018
1961-01-01,114867
1962-01-01,118286
1963-01-01,120243
1964-01-01,123020
1965-01-01,127648
1966-01-01,134003
1967-01-01,136203
1968-01-01,139176
1969-01-01,143070
1970-01-01,140865
1971-01-01,140083
1972-01-01,144171
1973-01-01,150364
1974-01-01,150591
1975-01-01,146515
1976-01-01,150739
1977-01-01,155828
1978-01-01,162999
1979-01-01,167679
1980-01-01,166683
1981-01-01,167896
1982-01-01,163912
1983-01-01,166223
1984-01-01,174363
1985-01-01,177755
1986-01-01,179712
1987-01-01,184922
1988-01-01,189823
1989-01-01,195094
1990-01-01,196609
1991-01-01,192453
1992-01-01,193475
1993-01-01,197567
1994-01-01,203043
1995-01-01,208435
1996-01-01,211058
1997-01-01,217558
1998-01-01,223300
1999-01-01,227942
2000-01-01,231552
2001-01-01,229013
2002-01-01,226949.0
2003-01-01,225857.0
2004-01-01,228646.0
2005-01-01,231956.0
2006-01-01,236365.0
2007-01-01,238333.0
2008-01-01,236652.0
2009-01-01,223477.0
2010-01-01,224005.0
2011-01-01,227979.0
2012-01-01,232383.0
2013-01-01,236137.0
2014-01-01,241150.0
2015-01-01,245779.0
2016-01-01,249557.0
2017-01-01,253162.0
2018-01-01,257633.0
2019-01-01,260850.0
2020-01-01,246427.0
2021-01-01,256718.0
