Table 1.12. National Income by Type of Income
Table 1.12. National Income by Type of Income
"Last Revised on: December 22, 2022 - Next Release Date January 26, 2023"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        National income",478.9,496.0,533.9,565.4,607.0,658.8,718.1,758.4,830.2,897.2,937.5,1014.0,1119.5,1253.2,1346.4,1446.0,1609.4,1792.8,2022.7,2240.3,2418.6,2714.7,2834.5,3051.5,3433.9,3669.9,3831.2,4098.5,4471.6,4760.1,5013.8,5164.4,5475.2,5730.3,6114.6,6452.3,6870.6,7349.9,7825.7,8291.5,8872.4,9146.6,9394.2,9815.8,10495.8,11195.5,11942.3,12297.3,12359.3,12054.8,12781.1,13375.5,14099.6,14507.1,15228.1,15749.5,16033.4,16766.8,17661.7,18327.9,17894.6,19785.5
2,Compensation of employees,301.3,310.4,332.2,350.4,376.0,405.4,449.2,481.8,530.8,584.5,623.3,665.0,731.3,812.7,887.7,947.2,1048.3,1165.8,1316.8,1477.2,1622.2,1792.5,1893.0,2012.5,2215.9,2387.3,2542.1,2722.4,2948.0,3139.6,3340.4,3450.5,3668.2,3817.3,4006.2,4198.1,4416.9,4708.8,5071.1,5402.7,5847.1,6038.3,6135.1,6353.6,6719.5,7066.1,7479.7,7878.5,8056.8,7759.0,7925.4,8226.2,8567.4,8835.0,9250.2,9699.4,9966.1,10424.4,10957.9,11448.1,11592.7,12538.5
3,"    Wages and salaries",272.9,280.5,299.4,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418.0,3616.5,3876.8,4181.6,4457.9,4824.9,4953.6,4995.8,5138.3,5421.0,5691.4,6056.7,6396.4,6534.1,6249.1,6372.5,6626.2,6928.1,7114.0,7476.3,7859.5,8091.2,8474.4,8900.0,9324.6,9457.4,10290.1
4,"        Government",49.2,52.5,56.3,60.0,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220.0,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452.0,481.1,519.0,548.8,572.0,589.0,609.5,629.0,648.1,671.9,701.3,733.8,779.8,822.0,872.9,914.0,952.3,991.3,1034.5,1088.5,1143.9,1175.2,1191.2,1194.9,1198.3,1208.0,1236.9,1275.8,1308.0,1348.2,1402.0,1450.5,1494.5,1544.1
5,"        Other",223.7,228.0,243.0,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560.0,611.8,638.6,710.8,791.6,900.6,1016.2,1112.0,1225.5,1280.0,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789.0,2968.4,3205.0,3480.3,3724.2,4045.2,4131.6,4123.0,4224.3,4468.7,4700.1,5022.2,5307.8,5390.2,5073.9,5181.3,5431.3,5729.8,5906.0,6239.4,6583.7,6783.2,7126.2,7498.1,7874.1,7962.9,8746.0
6,"    Supplements to wages and salaries",28.4,29.9,32.8,35.6,38.2,41.7,48.9,52.8,58.8,66.1,71.8,80.4,92.5,103.9,115.4,132.4,148.6,171.7,196.2,223.9,248.8,281.2,305.5,335.0,371.0,404.8,439.7,466.1,508.2,556.6,599.2,636.0,702.7,737.9,769.6,780.1,800.5,832.0,889.5,944.8,1022.2,1084.7,1139.3,1215.3,1298.5,1374.7,1422.9,1482.1,1522.7,1509.9,1552.9,1600.0,1639.2,1721.0,1773.9,1839.9,1874.9,1950.0,2057.9,2123.5,2135.4,2248.4
7,"        Employer contributions for employee pension and insurance funds1",19.2,20.3,21.7,23.2,25.6,28.6,32.1,34.8,38.8,43.4,47.9,54.0,61.4,64.1,70.7,85.7,94.2,110.6,124.7,141.3,159.9,177.5,195.7,215.1,231.9,257.0,281.9,299.9,323.6,362.9,392.7,420.9,474.3,498.3,515.5,515.9,525.7,542.4,582.3,621.4,677.0,726.7,773.2,832.8,889.7,946.7,975.6,1020.4,1051.3,1051.8,1083.9,1107.3,1125.9,1194.7,1227.5,1270.6,1293.9,1345.3,1433.1,1472.9,1476.2,1550.3
8,"        Employer contributions for government social insurance",9.3,9.6,11.2,12.4,12.6,13.1,16.8,18.0,20.0,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139.0,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358.0,366.0,382.5,408.8,428.1,447.3,461.7,471.4,458.1,469.0,492.7,513.3,526.3,546.4,569.4,580.9,604.7,624.8,650.7,659.1,698.1
9,Proprietors' income with IVA and CCAdj,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.2,696.4,753.9,831.0,870.0,897.5,962.9,979.1,1050.9,995.5,959.7,937.6,1107.3,1227.4,1346.4,1402.2,1445.6,1420.8,1423.3,1504.6,1568.7,1601.4,1643.1,1753.6
