Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: December 22, 2022 - Next Release Date January 26, 2023"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic product",542.4,562.2,603.9,637.5,684.5,742.3,813.4,860.0,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207.0,3343.8,3634.0,4037.6,4339.0,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6,9062.8,9631.2,10251.0,10581.9,10929.1,11456.5,12217.2,13039.2,13815.6,14474.2,14769.9,14478.1,15049.0,15599.7,16254.0,16843.2,17550.7,18206.0,18695.1,19477.3,20533.1,21381.0,21060.5,23315.1
2,Personal consumption expenditures,331.2,341.5,362.6,382.0,410.6,443.0,479.9,506.7,556.9,603.6,646.7,699.9,768.2,849.6,930.2,1030.5,1147.7,1274.0,1422.3,1585.4,1750.7,1934.0,2071.3,2281.6,2492.3,2712.8,2886.3,3076.3,3330.0,3576.8,3809.0,3943.4,4197.6,4452.0,4721.0,4962.6,5244.6,5536.8,5877.2,6283.8,6767.2,7073.8,7348.9,7740.7,8232.0,8769.1,9277.2,9746.6,10050.1,9891.2,10260.3,10698.9,11047.4,11363.5,11847.7,12263.5,12693.3,13233.6,13905.0,14392.7,14116.2,15902.6
3,"    Goods",177.0,178.8,189.0,198.2,212.3,229.7,249.6,259.0,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.5,2108.4,2287.1,2453.2,2525.6,2598.8,2722.6,2902.0,3082.9,3239.7,3367.0,3363.2,3180.0,3317.8,3518.1,3637.7,3730.0,3863.0,3923.0,3991.8,4159.4,4355.2,4473.5,4670.1,5496.5
4,"        Durable goods",45.6,44.2,49.5,54.2,59.6,66.4,71.7,74.0,84.8,90.5,90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.8,1080.6,1128.6,1158.3,1188.0,1098.8,1012.1,1049.0,1093.5,1144.2,1189.4,1242.1,1307.6,1345.2,1398.2,1470.7,1510.5,1646.8,2060.2
5,"        Nondurable goods",131.4,134.6,139.5,143.9,152.7,163.3,177.9,185.0,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.0,1329.1,1431.5,1540.6,1584.1,1613.4,1704.8,1821.4,1954.3,2081.3,2179.0,2264.5,2167.9,2268.9,2424.6,2493.5,2540.6,2620.9,2615.4,2646.7,2761.1,2884.5,2963.0,3023.3,3436.3
6,"    Services",154.2,162.7,173.6,183.9,198.4,213.3,230.3,247.7,272.2,299.0,327.9,357.8,394.3,432.9,478.6,539.2,601.4,673.6,758.7,847.5,950.9,1064.6,1172.0,1307.8,1428.6,1575.2,1690.7,1820.0,1992.7,2153.0,2317.7,2446.0,2634.3,2809.6,2974.4,3147.1,3326.9,3530.3,3768.8,3996.7,4314.0,4548.2,4750.1,5018.2,5329.9,5686.1,6037.6,6379.6,6686.9,6711.2,6942.4,7180.7,7409.6,7633.6,7984.8,8340.5,8701.4,9074.2,9549.8,9919.2,9446.0,10406.1
7,Gross private domestic investment,86.5,86.6,97.0,103.3,112.2,129.6,144.2,142.7,156.9,173.6,170.0,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581.0,637.5,820.1,829.7,849.1,892.2,937.0,999.7,993.4,944.3,1013.0,1106.8,1256.5,1317.5,1432.1,1595.6,1736.7,1887.1,2038.4,1934.8,1930.4,2027.1,2281.3,2534.7,2701.0,2673.0,2477.6,1929.7,2165.5,2332.6,2621.8,2826.0,3044.2,3237.2,3205.0,3385.6,3642.4,3807.1,3642.9,4113.5
8,"    Fixed investment",83.2,83.6,90.9,97.7,107.3,120.4,130.6,132.8,147.9,164.4,168.0,188.6,219.0,251.0,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865.0,918.5,972.0,978.9,944.7,996.7,1086.0,1192.7,1286.3,1401.3,1524.7,1673.0,1826.2,1983.9,1973.1,1910.4,2013.0,2217.2,2477.2,2632.0,2639.1,2506.9,2080.4,2111.6,2286.3,2550.5,2721.5,2960.2,3100.4,3168.8,3353.4,3583.3,3734.4,3698.7,4132.6
9,"        Nonresidential",56.4,56.6,61.2,64.8,72.2,85.2,97.2,99.2,107.7,120.0,124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.8,607.8,615.2,662.3,716.0,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1254.1,1364.5,1498.4,1460.1,1352.8,1375.9,1467.4,1621.0,1793.8,1948.6,1990.9,1690.4,1735.0,1907.5,2118.5,2211.5,2400.1,2466.6,2469.3,2593.2,2784.7,2921.1,2797.9,3025.0
10,"            Structures",19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,276.0,285.7,321.0,333.5,287.0,286.6,307.7,353.0,425.2,510.3,571.1,455.8,379.8,404.5,479.4,492.5,577.6,584.4,560.4,599.5,633.6,674.7,614.4,598.2
11,"            Equipment",29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,670.6,721.9,794.9,862.3,893.4,845.4,670.3,777.0,881.3,983.4,1027.0,1091.9,1119.5,1087.8,1118.3,1193.2,1209.8,1077.8,1194.0
12,"            Intellectual property products",7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,691.9,730.5,762.7,821.2,875.3,957.9,1036.6,1105.7,1232.7
13,"        Residential",26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.1,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,510.0,560.2,633.8,699.4,760.3,798.6,813.2,900.8,1107.6
14,"    Change in private inventories",3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,20.0,14.1,64.1,57.5,69.0,34.0,-29.2,-150.8,53.9,46.3,71.2,104.5,84.0,136.8,36.3,32.2,59.1,72.8,-55.8,-19.1
