Table 1.1.4. Price Indexes for Gross Domestic Product
Table 1.1.4. Price Indexes for Gross Domestic Product
"Last Revised on: December 22, 2022 - Next Release Date January 26, 2023"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic product",16.626,16.803,17.008,17.203,17.465,17.785,18.283,18.813,19.614,20.577,21.662,22.761,23.745,25.045,27.292,29.827,31.469,33.424,35.775,38.741,42.251,46.240,49.099,51.018,52.860,54.533,55.638,57.004,59.018,61.331,63.636,65.777,67.278,68.874,70.342,71.819,73.132,74.399,75.219,76.272,78.016,79.814,81.013,82.635,84.842,87.490,90.212,92.653,94.397,95.019,96.164,98.157,100.000,101.769,103.662,104.662,105.703,107.743,110.344,112.303,113.814,118.924
2,Personal consumption expenditures,16.441,16.612,16.806,17.007,17.254,17.502,17.944,18.395,19.115,19.976,20.910,21.798,22.542,23.756,26.229,28.415,29.974,31.923,34.145,37.178,41.182,44.871,47.363,49.378,51.243,53.031,54.184,55.855,58.038,60.572,63.231,65.345,67.087,68.758,70.193,71.671,73.204,74.478,75.070,76.164,78.090,79.656,80.702,82.398,84.443,86.876,89.322,91.614,94.325,94.062,95.747,98.170,100.000,101.354,102.887,103.116,104.148,106.054,108.317,109.933,111.145,115.621
3,"    Goods",26.625,26.725,26.863,27.086,27.381,27.669,28.278,28.777,29.780,30.934,32.114,33.079,33.926,35.949,40.436,43.703,45.413,47.837,50.773,55.574,61.797,66.389,68.198,69.429,70.742,71.877,71.541,73.842,75.788,78.704,81.927,83.930,84.943,85.681,86.552,87.361,88.321,88.219,86.893,87.349,89.082,89.015,88.166,88.054,89.292,91.084,92.306,93.331,96.122,93.812,95.183,98.773,100.000,99.407,98.920,95.896,94.332,94.621,95.334,94.948,94.237,98.824
4,"        Durable goods",56.899,57.043,57.288,57.507,57.767,57.293,57.168,58.086,59.948,61.638,62.967,65.141,65.859,66.834,71.222,77.596,81.840,85.505,90.291,96.275,104.630,111.627,115.981,118.332,120.082,121.352,122.687,126.217,128.299,130.637,131.935,133.868,134.793,136.120,138.784,139.797,138.386,135.364,131.538,127.994,125.717,123.254,120.143,115.752,113.488,112.309,110.388,108.038,106.012,104.020,102.107,101.280,100.000,97.968,95.429,93.358,91.141,89.067,87.698,86.809,86.032,90.809
5,"        Nondurable goods",18.063,18.139,18.238,18.419,18.665,19.002,19.610,19.968,20.688,21.583,22.553,23.190,23.933,25.863,29.775,32.076,33.120,35.018,37.256,41.271,46.335,49.913,51.046,51.922,53.001,53.993,53.304,55.117,56.869,59.690,63.112,64.955,65.898,66.434,66.788,67.486,69.014,69.735,69.223,70.943,73.990,74.776,74.781,76.327,78.970,81.998,84.553,87.041,91.904,89.467,92.182,97.652,100.000,100.082,100.599,97.092,95.876,97.451,99.339,99.247,98.585,103.001
6,"    Services",11.793,12.003,12.230,12.425,12.653,12.889,13.260,13.700,14.297,15.035,15.867,16.733,17.441,18.284,19.833,21.533,23.027,24.770,26.674,28.911,31.918,35.187,37.949,40.280,42.376,44.450,46.276,47.660,49.939,52.293,54.690,56.829,58.850,60.885,62.540,64.288,66.051,67.914,69.351,70.731,72.740,75.063,77.004,79.574,82.018,84.774,87.844,90.786,93.458,94.182,96.017,97.875,100.000,102.322,104.880,106.796,109.197,111.966,115.070,117.791,120.133,124.458
7,Gross private domestic investment,24.509,24.462,24.488,24.421,24.580,24.958,25.469,26.121,27.103,28.402,29.624,31.092,32.388,34.153,37.559,42.059,44.384,47.655,51.517,56.141,61.395,67.123,70.679,70.896,71.661,72.548,74.178,75.723,77.627,79.606,81.270,82.648,82.647,83.627,84.875,86.240,86.191,86.241,85.608,85.690,86.815,87.555,87.841,88.561,91.148,94.839,98.176,99.656,100.474,99.331,97.687,98.704,100.000,100.979,102.922,103.535,103.516,105.243,107.191,108.918,110.342,114.329
8,"    Fixed investment",23.554,23.501,23.527,23.470,23.633,24.019,24.523,25.185,26.196,27.498,28.699,30.134,31.420,33.169,36.449,40.874,43.232,46.550,50.444,54.977,60.105,65.624,69.311,69.575,70.253,71.277,73.021,74.506,76.586,78.561,80.278,81.683,81.728,82.711,83.983,85.378,85.450,85.599,85.133,85.277,86.486,87.241,87.500,88.265,90.843,94.597,97.958,99.456,100.296,99.076,97.568,98.641,100.000,101.091,103.172,104.075,104.202,105.939,107.932,109.698,111.179,115.608
9,"        Nonresidential",30.404,30.280,30.308,30.315,30.513,30.852,31.327,32.093,33.237,34.638,36.295,37.997,39.297,40.882,44.857,50.766,53.562,57.111,60.930,65.830,71.641,78.453,82.911,82.774,83.036,83.893,85.365,86.339,88.514,90.572,92.516,94.267,93.960,94.161,94.904,95.849,95.267,94.735,93.248,92.314,92.718,92.346,91.863,91.156,92.055,94.443,96.745,98.310,99.832,99.184,97.416,98.559,100.000,100.251,101.469,101.909,101.119,101.992,102.824,104.155,104.948,106.688
10,"            Structures",8.814,8.761,8.830,8.905,9.032,9.294,9.629,9.929,10.427,11.114,11.845,12.757,13.674,14.734,16.770,18.773,19.692,21.401,23.468,26.194,28.629,32.566,35.136,34.241,34.540,35.361,36.039,36.618,38.171,39.666,40.948,41.689,41.699,42.922,44.437,46.362,47.540,49.355,51.612,53.198,55.283,58.178,60.603,62.769,67.416,75.733,84.749,89.748,94.335,92.613,92.006,95.362,100.000,101.455,107.198,109.403,109.670,112.411,114.116,118.805,120.380,125.276
11,"            Equipment",55.838,55.535,55.272,54.985,54.955,55.026,55.204,56.467,58.017,59.657,61.891,63.848,64.686,65.780,70.713,81.484,86.486,91.800,96.900,103.167,112.249,120.463,125.415,125.776,124.748,124.748,127.254,128.083,129.854,132.337,135.042,137.330,137.121,135.518,135.277,133.796,130.762,127.156,121.451,116.763,114.224,110.858,108.531,105.725,104.841,104.598,103.560,103.191,102.542,103.169,99.471,99.447,100.000,99.787,99.169,98.671,97.592,97.579,97.711,97.841,97.340,97.726
12,"            Intellectual property products",31.393,31.596,31.751,31.791,32.282,32.509,33.002,33.505,34.676,36.204,37.929,39.318,40.490,42.494,46.461,50.190,52.408,54.709,57.557,61.382,66.123,71.058,75.093,77.898,80.081,81.413,82.047,83.518,86.129,87.240,88.147,90.271,89.373,89.998,90.468,93.134,93.544,94.052,93.595,95.105,97.814,97.684,96.376,95.647,95.335,95.952,97.088,98.284,99.834,98.589,98.306,99.517,100.000,100.081,100.791,101.374,100.302,101.202,102.423,103.327,105.183,106.913
13,"        Residential",12.458,12.477,12.497,12.399,12.496,12.846,13.312,13.770,14.498,15.518,16.016,16.943,17.975,19.571,21.593,23.590,25.117,27.683,31.082,34.593,38.325,41.425,43.646,44.680,46.003,47.267,49.351,51.486,53.278,55.020,56.288,57.021,57.723,60.074,62.247,64.473,65.856,67.444,69.223,71.816,75.004,78.564,80.510,84.325,90.243,96.706,102.355,103.708,102.249,98.671,98.317,99.049,100.000,105.054,111.118,114.114,118.127,123.454,130.417,134.144,138.622,153.963
14,"    Change in private inventories",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
16,"    Exports",23.993,24.356,24.416,24.368,24.563,25.345,26.113,27.120,27.701,28.627,29.750,30.837,32.187,36.430,44.865,49.453,51.076,53.158,56.391,63.184,69.594,74.748,75.104,75.410,76.116,73.850,72.618,74.222,78.022,79.315,79.762,80.651,80.259,80.391,81.325,83.143,82.039,80.593,78.685,78.091,79.592,78.968,78.287,79.531,82.435,85.289,88.006,91.328,95.493,89.803,93.350,99.237,100.000,100.148,100.216,95.373,93.458,95.903,99.142,98.692,96.278,107.304
17,"        Goods",27.363,27.884,27.666,27.577,27.764,28.730,29.711,30.956,31.433,32.408,33.874,34.780,35.704,41.333,52.005,57.725,59.290,61.493,65.026,73.461,80.498,86.215,85.508,85.011,85.776,81.497,78.701,80.459,85.420,86.512,85.748,85.709,84.373,83.949,84.908,86.923,84.719,82.370,79.773,78.675,80.041,79.571,78.752,79.497,82.298,84.917,87.550,90.978,95.670,88.908,92.952,99.793,100.000,99.320,98.312,91.323,87.772,90.060,93.271,91.807,88.217,100.726
18,"        Services",16.907,16.960,17.543,17.573,17.781,18.184,18.519,19.045,19.795,20.598,21.039,22.416,24.506,25.723,28.971,30.972,32.764,34.603,37.189,40.249,45.375,49.332,52.125,54.200,54.766,56.738,58.676,59.933,61.268,62.965,65.948,68.764,70.380,71.701,72.570,73.937,75.394,76.158,75.999,76.663,78.510,77.496,77.151,79.599,82.750,86.171,89.095,92.160,95.083,91.745,94.230,98.001,100.000,101.987,104.466,104.431,106.155,108.950,112.244,114.128,114.594,121.500
19,"    Imports",16.829,16.829,16.631,16.954,17.311,17.552,17.961,18.030,18.304,18.781,19.893,21.114,22.593,26.520,37.942,41.100,42.338,46.068,49.315,57.753,71.945,75.834,73.281,70.535,69.925,67.628,67.627,71.715,75.146,76.789,78.991,78.332,78.396,77.795,78.526,80.677,79.271,76.516,72.396,72.827,76.013,74.046,73.164,75.377,78.971,83.618,86.854,89.887,98.795,87.854,92.655,99.716,100.000,98.697,97.961,90.144,87.058,88.980,91.408,89.972,88.010,94.481
20,"        Goods",17.600,17.433,17.016,17.173,17.636,17.723,18.123,18.149,18.392,18.911,20.196,21.231,22.858,26.942,40.316,43.693,44.861,48.971,52.229,61.594,77.733,82.086,78.777,75.483,74.963,72.014,70.401,75.412,79.005,81.215,82.707,81.143,80.699,79.798,80.379,82.522,80.431,77.109,72.451,72.534,76.358,74.211,72.930,74.483,78.038,82.992,86.318,89.234,98.972,86.542,91.960,99.868,100.000,98.059,96.752,87.644,83.999,85.880,88.263,86.379,83.963,90.511
21,"        Services",14.712,14.995,15.191,15.815,15.949,16.505,16.920,17.084,17.417,17.772,18.406,20.072,21.072,24.375,28.987,31.337,32.753,35.081,38.268,43.217,50.155,52.336,52.376,51.516,50.630,50.568,56.047,56.842,59.615,59.300,63.744,66.074,67.930,68.506,69.850,72.031,73.828,73.826,72.382,74.609,74.366,73.346,74.504,80.205,84.009,86.934,89.654,93.321,97.963,93.763,95.891,98.987,100.000,101.841,104.018,102.981,102.856,104.991,107.648,108.618,109.342,114.972
22,Government consumption expenditures and gross investment,11.095,11.287,11.499,11.780,12.089,12.418,12.912,13.354,14.069,14.893,16.080,17.353,18.664,19.938,21.854,23.872,25.183,26.742,28.510,30.856,34.048,37.428,39.973,41.520,43.322,44.663,45.413,46.640,48.181,50.021,52.118,54.010,55.647,56.958,58.468,60.128,61.361,62.566,63.630,65.753,68.577,70.558,72.386,75.044,78.169,82.132,85.695,89.530,93.334,92.921,95.391,98.289,100.000,102.363,104.470,104.638,104.899,107.353,111.303,113.192,115.329,121.436
23,"    Federal",13.658,13.820,14.015,14.367,14.813,15.182,15.694,16.044,16.851,17.717,19.112,20.673,22.488,24.054,25.975,28.258,30.016,31.863,34.012,36.571,40.104,43.849,46.950,48.506,50.644,51.719,51.964,52.325,54.033,55.542,57.258,59.317,60.832,62.159,63.870,65.847,66.946,67.981,68.850,70.532,72.898,74.249,76.648,80.025,82.777,86.222,88.969,91.609,94.397,94.193,96.425,99.069,100.000,100.933,102.643,103.143,103.695,105.592,108.662,110.639,111.898,115.724
24,"        National defense",13.163,13.276,13.438,13.795,14.186,14.557,15.066,15.426,16.196,17.019,18.294,19.817,21.883,23.484,25.404,27.545,29.345,31.268,33.561,36.216,39.919,43.747,47.039,48.778,51.013,51.872,51.894,52.267,53.904,55.365,57.162,58.964,60.678,61.615,63.229,65.027,66.114,67.035,67.871,69.559,71.908,73.270,75.714,79.505,82.263,86.011,89.022,91.750,94.801,94.126,96.128,98.946,100.000,100.609,102.056,102.334,102.650,104.260,107.147,108.903,110.148,114.240
25,"        Nondefense",14.496,14.915,15.254,15.549,16.182,16.521,17.012,17.296,18.188,19.163,20.915,22.531,23.589,25.028,26.916,29.497,31.137,32.796,34.627,36.968,40.124,43.662,46.309,47.418,49.300,50.929,51.770,52.099,53.997,55.629,57.118,59.813,60.851,63.021,64.926,67.252,68.373,69.621,70.548,72.218,74.616,75.947,78.272,80.946,83.689,86.586,88.858,91.340,93.647,94.308,96.951,99.284,100.000,101.482,103.621,104.466,105.370,107.697,111.044,113.360,114.640,118.111
26,"    State and local",9.286,9.524,9.772,10.000,10.194,10.502,11.006,11.565,12.235,13.063,14.118,15.199,16.163,17.246,19.158,21.000,22.025,23.395,24.915,27.115,30.082,33.228,35.403,36.966,38.546,40.115,41.271,43.198,44.642,46.754,49.156,50.955,52.692,54.004,55.397,56.874,58.180,59.474,60.633,62.963,65.989,68.258,69.792,72.063,75.382,79.631,83.659,88.181,92.590,92.045,94.674,97.747,100.000,103.332,105.698,105.656,105.739,108.534,113.028,114.864,117.568,125.206
